category,precision,recall,f1_score
related,0.926185173401209,0.7281140570285143,0.8152919759137376
request,0.5784671532846716,0.7115600448933782,0.638147961751384
offer,0.0,0.0,0.0
aid_related,0.7438650306748467,0.672365988909427,0.7063106796116505
medical_help,0.47619047619047616,0.5517241379310345,0.5111821086261981
medical_products,0.32754342431761785,0.4731182795698925,0.3870967741935484
search_and_rescue,0.45348837209302323,0.2867647058823529,0.35135135135135137
security,0.13157894736842105,0.052083333333333336,0.07462686567164178
military,0.45549738219895286,0.5506329113924051,0.498567335243553
child_alone,0.0,0.0,0.0
water,0.5881104033970276,0.826865671641791,0.6873449131513648
food,0.7187039764359352,0.8356164383561644,0.7727632620744259
shelter,0.5634782608695652,0.6923076923076923,0.6212847555129435
clothing,0.3855421686746988,0.45714285714285713,0.41830065359477125
money,0.4069767441860465,0.3125,0.35353535353535354
missing_people,0.6,0.09523809523809523,0.1643835616438356
refugees,0.38285714285714284,0.3941176470588235,0.3884057971014493
death,0.592274678111588,0.5587044534412956,0.575
other_aid,0.34417040358744394,0.4436416184971098,0.38762626262626265
infrastructure_related,0.2735632183908046,0.3541666666666667,0.3086900129701686
transport,0.41509433962264153,0.37446808510638296,0.39373601789709173
buildings,0.5347826086956522,0.45724907063197023,0.49298597194388777
electricity,0.5975609756097561,0.4260869565217391,0.49746192893401014
tools,0.0,0.0,0.0
hospitals,0.3333333333333333,0.07692307692307693,0.125
shops,0.0,0.0,0.0
aid_centers,0.3,0.046875,0.08108108108108109
other_infrastructure,0.21069182389937108,0.29777777777777775,0.24677716390423574
weather_related,0.7718120805369127,0.703125,0.7358691788126556
floods,0.5590551181102362,0.6589327146171694,0.6048988285410011
storm,0.6056074766355141,0.6764091858037579,0.6390532544378699
fire,0.2857142857142857,0.03773584905660377,0.06666666666666667
earthquake,0.8374485596707819,0.7902912621359224,0.8131868131868132
cold,0.5507246376811594,0.36538461538461536,0.4393063583815029
other_weather,0.27621483375959077,0.4044943820224719,0.3282674772036474
direct_report,0.509773260359656,0.6455445544554456,0.5696810834425513
